Provider,Source,Instrument,Status
ESA,PROBA2,LYRA,1
ESA,PROBA2,SWAP,0
ESA,SOAR,EUI,0
ESA,SOAR,Metis,0
ESA,SOAR,PHI,8
ESA,SOAR,SPICE,8
ESA,SOAR,STIX,8
ESA,SOAR,SoloHI,8
HAO,MLSO,K-Cor,9
HAO,MLSO,chp,0
HAO,MLSO,dpm,1
HAO,MLSO,mk4,1
HAO,SMM,cp,0
HSOS,SATech-01,SUTRI,0
INAF-OACT,OACT,BE-Continuum,0
INAF-OACT,OACT,BE-Halpha,1
INAF-OACT,OACT,Cook_Refractor,0
JSOC,SDO,AIA,0
JSOC,SDO,HMI,0
KIS,ChroTel,ChroTel,2
KSO,KSO,CAII,8
KSO,KSO,FILM,0
KSO,KSO,HA2,0
KSO,KSO,KPDC,1
KSO,KSO,PHOKA,0
KSO,KSO,TM-1001,0
KSO,KSO,TM-1010,0
LASP,MINXSS1,X123,0
LASP,MINXSS2,X123,0
LASP,SDO,EVE,0
LMSAL,IRIS,IRIS,0
LSSP,RHESSI,RHESSI,1
MPS,SUNRISE1,IMaX,1
MPS,SUNRISE1,SuFI,0
MPS,SUNRISE2,IMaX,1
MPS,SUNRISE2,SuFI,0
MSFC,CLASP2,SJ,0
MSFC,CLASP2,SP1,0
MSFC,CLASP2,SP2,0
MSFC,HI-C,HI-C,0
MSFC,HI-C21,HI-C21,0
MSU,YOHKOH,BCS,0
MSU,YOHKOH,HXT,0
MSU,YOHKOH,SXT,0
MSU,YOHKOH,WBS,0
MWSPADP,MtWilson,60-ft SHG,0
NAOJ,SFT,T1-HALPHA,0
NGDC,GOES-12,SXI-0,2
NOAA,GOES16,SUVI,1
NOAA,GOES17,SUVI,1
NOAA,GOES18,SUVI,0
NOAA,GOES19,SUVI,0
NRL,PSP,WISPR,1
NSO,Evans,spectroheliograph,0
NSO,GONG,Big Bear,0
NSO,GONG,Cerro Tololo,0
NSO,GONG,El Teide,1
NSO,GONG,Learmonth,0
NSO,GONG,MERGED GONG,0
NSO,GONG,Mauna Loa,0
NSO,GONG,Udaipur,0
NSO,HXECLIPSE,HXECLIPSE,1
NSO,ISOON,ISOON,0
NSO,IVM,IVM,1
NSO,KPVT,512-channel magnetograph,0
NSO,KPVT,spectromagnetograph,0
NSO,McMath,solar fts spectrometer,1
NSO,PTMC,PTMC,1
NSO,SDO,HMI,1
NSO,SOLIS,ISS,1
NSO,SOLIS,vsm,0
NWRA,MCCD,MEES,8
OBSPM,OBSPM,Meudon Spectroheliograph,1
OMP,OMP,C1,1
OMP,OMP,C2,1
OMP,OMP,L1,0
OMP,OMP,L2,1
OVRO,OVRO,OVSA,2
SAO,Hinode,XRT,0
SDAC,EUNIS,LONGWAVE-LOBE-06,0
SDAC,EUNIS,LONGWAVE-LOBE-07,0
SDAC,EUNIS,LONGWAVE-SLIT-06,0
SDAC,EUNIS,LONGWAVE-SLIT-07,0
SDAC,EUNIS,SHORTWAVE-LOBE-06,0
SDAC,EUNIS,SHORTWAVE-LOBE-07,0
SDAC,EUNIS,SHORTWAVE-SLIT-06,0
SDAC,EUNIS,SHORTWAVE-SLIT-07,0
SDAC,FOXSI1,FOXSI,0
SDAC,FOXSI2,FOXSI,0
SDAC,FOXSI3,FOXSI,1
SDAC,FOXSI3,PHOENIX,0
SDAC,Hinode,EIS,0
SDAC,Hinode,SOT,0
SDAC,SDO,AIA,0
SDAC,SO,EUI,8
SDAC,SO,SPICE,0
SDAC,SO,SoloHI,1
SDAC,SOHO,CDS,0
SDAC,SOHO,CELIAS,0
SDAC,SOHO,COSTEP,0
SDAC,SOHO,EIT,0
SDAC,SOHO,ERNE,0
SDAC,SOHO,GOLF,0
SDAC,SOHO,LASCO,0
SDAC,SOHO,SUMER,0
SDAC,SOHO,SWAN,0
SDAC,SOHO,UVCS,1
SDAC,SOHO,VIRGO,0
SDAC,TRACE,TRACE,0
SDAC,VAULT,VAULT-1999,0
SDAC,VAULT,VAULT-2002,0
SDAC,VAULT,VAULT-2014,0
SDAC_PUNCH,PUNCH,NFI-0,0
SDAC_PUNCH,PUNCH,WFI-1,0
SDAC_PUNCH,PUNCH,WFI-2,0
SDAC_PUNCH,PUNCH,WFI-3,0
SHA,SOHO,MDI,0
SSC,STEREO_A,IMPACT,0
SSC,STEREO_A,PLASTIC,0
SSC,STEREO_A,SECCHI,0
SSC,STEREO_A,SWAVES,0
SSC,STEREO_B,IMPACT,1
SSC,STEREO_B,PLASTIC,0
SSC,STEREO_B,SECCHI,0
SSC,STEREO_B,SWAVES,1
